,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
1834,罗伯·明可夫,"['迈克尔·J·福克斯', '吉娜·戴维斯', '休·劳瑞', '詹姆斯·伍兹', '斯蒂夫·扎恩']",7.1,['2002'],"['喜剧', '家庭', '奇幻', '冒险']",77,35262,英语, 美国,精灵鼠小弟2
1835,安德鲁·斯坦顿,"['泰勒·克奇', '琳恩·柯林斯', '托马斯·哈登·丘奇', '威廉·达福', '萨曼莎·莫顿']",6.4,['2012'],"['动作', '科幻', '奇幻', '冒险']",132,55311,英语, 美国,异星战场
1836,迈克尔·斯派瑞,"['马特·帕斯摩尔', '托宾·贝尔', '考乐姆·吉斯·雷尼', '汉娜·艾米莉·安德森', '科勒·班尼特']",6.9,['2017'],"['悬疑', '惊悚', '恐怖']",92,58379,英语, 美国,电锯惊魂8：竖锯
1837,乔什·特兰克,"['迈尔斯·特勒', '凯特·玛拉', '迈克尔·B·乔丹', '杰米·贝尔', '蒂姆·布雷克·尼尔森']",4.5,['2015'],"['动作', '科幻', '冒险']",100,33478,英语, 美国,神奇四侠2015
1838,朗·霍华德,"['阿尔登·埃伦瑞奇', '艾米莉亚·克拉克', '伍迪·哈里森', '唐纳德·格洛弗', '保罗·贝坦尼']",6.9,['2018'],"['动作', '科幻', '冒险']",135,46436,英语, 美国,游侠索罗：星球大战外传
1839,保罗·安德森,"['桑娜·莱瑟', '雷欧·波瓦', '兰斯·亨利克森', '艾文·布莱纳', '科林·萨蒙']",6.9,['2004'],"['动作', '科幻', '惊悚']",101,46612,英语, 美国,异形大战铁血战士
1840,杰夫·瓦德洛,"['亚伦·泰勒-约翰逊', '科洛·莫瑞兹', '金·凯瑞', '克里斯托夫·梅兹-普莱瑟', '唐纳德·法森']",6.3,['2013'],"['喜剧', '动作', '犯罪']",103,56918,英语, 美国,海扁王2
1841,多米尼克·塞纳,"['尼古拉斯·凯奇', '朗·普尔曼', '斯蒂芬·坎贝尔·莫尔', '罗伯特·席安', '克里斯托弗·李']",5.5,['2011'],"['动作', '奇幻', '冒险']",95,50500,英语, 美国,女巫季节
1842,托德·菲利普斯,"['布莱德利·库珀', '扎克·加利凡纳基斯', '艾德·赫尔姆斯', '贾斯汀·巴萨', '郑肯']",6.5,['2013'],['喜剧'],100,51641,英语, 美国,宿醉3
1843,吉尔莫·德尔·托罗,"['朗·普尔曼', '塞尔玛·布莱尔', '道格·琼斯', '约翰·亚历山大', '詹姆斯·多德']",6.8,['2008'],"['动作', '奇幻', '冒险']",120,46170,英语, 美国,地狱男爵2：黄金军团
1844,保罗·费格,"['克里斯汀·韦格', '玛娅·鲁道夫', '萝丝·拜恩', '克里斯·奥多德', '梅丽莎·麦卡西']",6.9,['2011'],['喜剧'],125,55289,英语, 美国,伴娘
1845,乔纳森·里贝斯曼,"['萨姆·沃辛顿', '拉尔夫·费因斯', '连姆·尼森', '丹尼·赫斯顿', '埃德加·拉米雷兹']",6.0,['2012'],"['动作', '奇幻', '冒险']",99,45751,英语, 美国,诸神之怒
1846,大卫·斯雷德,"['菲恩·怀特海德', '克雷格·帕金森', '爱丽丝·洛维', '阿西姆·乔杜里', '威尔·保尔特']",6.8,['2018'],"['剧情', '科幻', '悬疑', '惊悚']",90,60193,英语, 英国,黑镜：潘达斯奈基
1847,迈克尔·巴塞特,"['肖恩·宾', '凯瑞-安·莫斯', '马尔科姆·麦克道威尔', '阿德莱德·克莱蒙丝', '基特·哈灵顿']",5.6,['2012'],"['悬疑', '惊悚', '恐怖']",94,53167,英语, 法国,寂静岭2
1848,闵奎东,"['朱智勋', '金康宇', '林智妍', '千虎珍', '李裕英']",6.5,['2015'],"['剧情', '情色', '古装']",133,53866,韩语, 韩国,奸臣
1849,鲁本·弗雷斯彻,"['杰西·艾森伯格', '伍迪·哈里森', '艾玛·斯通', '阿比盖尔·布蕾斯琳', '艾梅柏·希尔德']",7.3,['2009'],"['喜剧', '恐怖', '冒险']",88,55374,英语, 美国,丧尸乐园
1850,克里斯蒂安·瑞沃斯,"['海拉·西尔玛', '雨果·维文', '金智海', '罗伯特·席安', '莱拉·乔治']",6.4,['2018'],"['动作', '科幻', '冒险']",128,47494,英语, 美国,掠食城市
1851,曼斯·马林德,"['凯特·贝金赛尔', ' 英迪娅·埃斯利', '迈克尔·伊雷', '克里斯·霍尔登-里德', '何家蓓']",6.6,['2012'],"['动作', '惊悚', '奇幻']",88,42102,英语, 美国,黑夜传说4：觉醒
1852,安德列·塞库拉,"['卡瑞·玛切特', '格兰特·维恩·戴维斯', 'Grace Lynn Kung', 'Matthew Ferguson']",6.7,['2002'],"['科幻', '悬疑', '惊悚', '恐怖']",94,49580,英语, 加拿大,心慌方2：超立方体
1853,蒂姆·波顿,"['约翰尼·德普', '伊娃·格林', '米歇尔·菲佛', '海伦娜·伯翰·卡特', '科洛·莫瑞兹']",6.3,['2012'],"['喜剧', '奇幻']",113,51624,英语, 美国,黑暗阴影
1854,罗伯特·斯文克,"['谢琳·伍德蕾', '提奥·詹姆斯', '杰夫·丹尼尔斯', '奥克塔维亚·斯宾瑟', '雷·史蒂文森']",5.8,['2016'],"['动作', '科幻', '冒险']",121,34847,英语, 美国,分歧者3：忠诚世界
1855,蒂姆·波顿,"['马丁·肖特', '凯瑟琳·欧哈拉', '马丁·兰道', '薇诺娜·瑞德', '罗伯特·卡普荣']",7.5,['2012'],"['喜剧', '科幻', '动画', '恐怖']",87,48448,英语, 美国,科学怪狗
1856,吉尔莫·德尔·托罗,"['韦斯利·斯奈普斯', '克里斯·克里斯托佛森', '朗·普尔曼', '蕾奥娜·维埃拉', '诺曼·瑞杜斯']",6.9,['2002'],"['动作', '惊悚', '恐怖', '奇幻', '冒险']",117,38974,英语, 美国,刀锋战士2
1857,托德·菲利普斯,"['扎克·加利凡纳基斯', '小罗伯特·唐尼', '杰米·福克斯', '朱丽叶特·刘易斯', '米歇尔·莫纳汉']",7.1,['2010'],"['剧情', '喜剧']",95,50914,英语, 美国,预产期
1858,保罗·范霍文,"['凯文·贝肯', '伊丽莎白·苏', '乔什·布洛林', '金·迪肯斯', '格雷戈·格伦伯格']",6.7,['2000'],"['动作', '科幻', '惊悚']",112,42892,英语, 美国,透明人
1859,詹姆斯·曼高德,"['汤姆·克鲁斯', '卡梅隆·迪亚兹', '彼得·萨斯加德', '玛姬·格蕾斯', '保罗·达诺']",6.8,['2010'],"['喜剧', '动作', '惊悚', '冒险']",109,49645,英语, 美国,危情谍战
1860,凯文·多诺万,"['成龙', '詹妮弗·洛芙·休伊特', '詹森·艾萨克', '黛比·玛扎']",6.2,['2002'],"['喜剧', '动作', '科幻', '惊悚']",98,33027,英语, 美国,神奇燕尾服
1861,路易斯·罗沙,"['詹妮弗·洛佩兹', '艾斯·库珀', '强·沃特', '埃里克·斯托尔兹', '乔纳森·海德']",6.6,['1997'],"['动作', '惊悚', '冒险', '灾难']",89,34927,英语, 巴西,狂蟒之灾
1862,布莱恩·菲,"['欧文·威尔逊', '克里斯黛拉·阿朗索', '克里斯·库珀', '内森·菲利安', '王牌接线员拉里']",7.0,['2017'],"['喜剧', '动画', '冒险']",102,31068,英语, 美国,赛车总动员3：极速挑战
1863,卡瑞恩·库萨马,"['梅根·福克斯', '阿曼达·塞弗里德', '约翰尼·西蒙斯', '亚当·布罗迪', 'Sal Cortez']",5.4,['2009'],"['喜剧', '恐怖', '奇幻']",102,46697,英语, 美国,詹妮弗的肉体
1864,马克·耐沃尔代,"['杰森·斯坦森', '艾米·斯马特', '白灵', '小克利夫顿·克林斯', '艾弗连·莱米雷斯']",6.9,['2009'],"['动作', '惊悚', '犯罪']",96,47315,英语, 美国,怒火攻心2：高压电
1865,帕特里克·塔特普洛斯,"['麦克·辛', '比尔·奈伊', '罗娜·迈特拉', '斯蒂文·麦金托什', 'Kevin Grevioux']",6.8,['2009'],"['动作', '惊悚', '奇幻']",92,38727,英语, 美国,黑夜传说3：狼族崛起
1866,詹姆斯·德莫纳克,"['伊桑·霍克', '琳娜·海蒂', '艾德文·霍德吉', '马克斯·博克霍德', '阿黛莱德·凯恩']",5.8,['2013'],"['科幻', '惊悚', '犯罪']",85,45920,英语, 美国,人类清除计划
1867,劳伦斯·哥特曼,"['杰夫·高布伦', '伊丽莎白·帕金斯', 'Alexander Pollock', '米瑞安·玛格莱斯']",6.8,['2001'],"['喜剧', '动作', '冒险']",87,30794,英语, 美国,猫狗大战
1868,丹·特拉亨伯格,"['约翰·古德曼', '玛丽·伊丽莎白·温斯特德', '小约翰·加拉赫', '布莱德利·库珀', '道格拉斯·M·格里芬']",6.8,['2016'],"['科幻', '悬疑', '惊悚']",103,46419,英语, 美国,科洛弗道10号
1869,道格·里曼,"['海登·克里斯滕森', '塞缪尔·杰克逊', '杰米·贝尔', '蕾切尔·比尔森', '戴安·琳恩']",6.6,['2008'],"['动作', '科幻', '惊悚', '冒险']",88,46234,英语, 美国,心灵传输者
1870,赛斯·戈登,"['杰森·贝特曼', '查理·戴', '杰森·苏戴奇斯', '凯文·史派西', '詹妮弗·安妮斯顿']",7.0,['2011'],"['喜剧', '犯罪']",98,48240,英语, 美国,恶老板
1871,詹姆斯·德莫纳克,"['弗兰克·格里罗', '卡门·艾乔戈', '扎克·吉尔福德', '基拉·桑切斯', '贾斯蒂娜·马查多']",6.4,['2014'],"['科幻', '惊悚', '犯罪']",103,31791,英语, 美国,人类清除计划2：无政府状态
1872,科林·施特劳斯,"['史蒂文·帕斯奎尔', '蕾可·艾尔丝沃斯', '强尼·莱维斯', '克里斯汀·哈格']",5.9,['2007'],"['动作', '科幻', '惊悚']",94,26512,英语, 美国,异形大战铁血战士2
1873,顾伦德·查达哈,"['乔治娅·格洛梅', '亚伦·泰勒-约翰逊', '埃莉诺·汤姆林森', '西恩·博克', '托米·巴斯托']",7.1,['2008'],"['剧情', '喜剧']",100,33294,英语, 美国,青春爱欲吻
1874,乔纳森·莫斯托,"['布鲁斯·威利斯', '裴淳华', '文·瑞姆斯', '拉达·米切尔', '波瑞斯·科乔']",6.7,['2009'],"['动作', '科幻', '惊悚']",89,30014,英语, 美国,未来战警
1875,基伦·埃弗瑞·韦恩斯,"['安娜·法瑞丝', '马龙·韦恩斯', 'Antony Acker', 'Mark Barrett', 'Richard Bellos']",6.7,['2001'],['喜剧'],83,27577,英语, 美国,惊声尖笑2
1876,亚历山大·阿嘉,"['史蒂夫·R·麦奎因', '杰西卡·斯佐尔', '亚当·斯科特', '伊丽莎白·苏', '文·瑞姆斯']",5.9,['2010'],"['喜剧', '惊悚', '恐怖']",88,32900,英语, 美国,食人鱼3D
1877,拉加·高斯内尔,"['尼尔·帕特里克·哈里斯', '布莱丹·格里森', '汉克·阿扎利亚', '杰玛·梅斯', '凯蒂·派瑞']",6.5,['2013'],"['喜剧', '动画', '奇幻']",105,22275,英语, 美国,蓝精灵2
1878,林大雄,"['徐英姬', '吴美熙', '吕贤洙', '朴孝俊', '张诚源']",6.8,['2006'],"['悬疑', '惊悚', '恐怖']",93,32336,韩语, 韩国,老师的恩惠
1879,卡米尔·狄拉玛,"['艾德·斯克林', '雷·史蒂文森', '洛安·沙巴诺尔', '加布里埃拉·赖特', '塔蒂阿娜·帕科维奇']",6.0,['2015'],"['动作', '惊悚', '犯罪']",96,28449,英语, 法国,玩命速递：重启之战
1880,史蒂文·索德伯格,"['玛丽昂·歌迪亚', '马特·达蒙', '劳伦斯·菲什伯恩', '裘德·洛', '格温妮斯·帕特洛']",6.4,['2011'],"['剧情', '科幻', '惊悚', '灾难']",106,34774,英语, 美国,传染病
1881,塔西姆·辛,"['瑞恩·雷诺兹', '本·金斯利', '马修·古迪', '娜塔丽·马丁内斯', '米歇尔·道克瑞']",6.4,['2015'],"['科幻', '悬疑', '惊悚']",117,29579,英语, 美国,幻体：续命游戏
1882,帕特里克·卢西尔,"['尼古拉斯·凯奇', '艾梅柏·希尔德', '凯蒂·米克松', '比利·伯克', '威廉·菲克纳']",5.8,['2011'],"['动作', '惊悚', '犯罪', '奇幻']",104,27591,英语, 美国,狂暴飞车
1883,大卫·扎克,"['安娜·法瑞丝', '雷吉娜·赫尔', '克雷格·比尔克', '比尔·普尔曼', '安东尼·安德森']",6.7,['2006'],['喜剧'],83,27224,英语, 美国,惊声尖笑4
1884,皮特·特拉维斯,"['卡尔·厄本', '奥莉薇·瑟尔比', '琳娜·海蒂', '道比·欧帕瑞', '兰利·柯克伍德']",6.4,['2012'],"['动作', '科幻', '惊悚', '犯罪']",90,28808,英语, 英国,特警判官
1885,伊桑·曼尼奎斯,"['丹尼·特雷霍', '米歇尔·罗德里格兹', '杰西卡·阿尔芭', '罗伯特·德尼罗', '琳赛·洛翰']",6.5,['2010'],"['动作', '惊悚', '犯罪']",105,32426,英语, 美国,弯刀
1886,大卫·扎克,"['安娜·法瑞丝', '查理·辛', '帕米拉·安德森', '詹尼·麦卡锡', 'Marny Eng']",6.8,['2003'],['喜剧'],84,26039,英语, 美国,惊声尖笑3
1887,大卫·道金,"['瑞恩·雷诺兹', '杰森·贝特曼', '奥利维亚·王尔德', '莱斯利·曼恩', '艾伦·阿金']",6.7,['2011'],['喜剧'],112,31832,英语, 美国,两男变错身
1888,迈克尔·斯派瑞,"['伊桑·霍克', '威廉·达福', '伊莎贝尔·卢卡斯', '山姆·尼尔', 'Harriet Minto-Day']",6.9,['2009'],"['剧情', '动作', '科幻', '恐怖', '犯罪']",98,30458,英语, 美国,嗜血破晓
1889,布莱恩·德·帕尔玛,"['乔什·哈奈特', '斯嘉丽·约翰逊', '艾伦·艾克哈特', '希拉里·斯万克', '米娅·科施娜']",6.5,['2006'],"['剧情', '悬疑', '惊悚', '历史', '犯罪']",121,29162,英语, 美国,黑色大丽花
1890,乔治·米勒,"['伊利亚·伍德', '罗宾·威廉姆斯', '红粉佳人', '伊丽莎白·戴利', '卡洛斯·阿拉斯拉奇']",7.3,['2011'],"['喜剧', '动画', '歌舞', '家庭']",102,25482,英语, 澳大利亚,快乐的大脚2
1891,J·J·艾布拉姆斯,"['乔尔·考特尼', '艾丽·范宁', '凯尔·钱德勒', 'Riley Griffiths', 'Ryan Lee']",6.4,['2011'],"['科幻', '悬疑', '惊悚', '儿童']",112,32291,英语, 美国,超级八
1892,约翰·R·莱昂耐迪,"['安娜贝拉·沃丽丝', '瓦德·霍尔顿', '托尼·阿门多拉', '阿尔法·伍达德', '凯莉·奥马利']",6.1,['2014'],"['悬疑', '惊悚', '恐怖']",99,30539,英语, 美国,安娜贝尔
1893,汤姆·戴伊,"['成龙', '欧文·威尔逊', '刘玉玲', 'Brandon Merrill', '于荣光']",6.4,['2000'],"['喜剧', '动作', '西部', '冒险']",110,23420,英语, 美国,上海正午
1894,詹姆斯·德莫纳克,"['弗兰克·格里罗', '伊丽莎白·米切尔', '麦凯尔泰·威廉逊', '约瑟夫·朱利安·索里亚', '贝蒂·加布里埃尔']",6.1,['2016'],"['科幻', '惊悚', '犯罪']",109,24553,英语, 美国,人类清除计划3
1895,罗德·丹尼尔,"['弗伦奇·斯图尔特', '艾瑞克·阿瓦利', '芭芭拉·巴布科克', '杰森·贝盖', '克拉儿·凯瑞']",6.8,['2002'],"['喜剧', '家庭', '犯罪']",84,13639,英语, 美国,小鬼当家4
1896,亚历山大·阿嘉,"['卡雅·斯考达里奥', '巴里·佩珀', '罗斯·安德森', '安森·布恩', '乔治·索纳']",5.7,['2019'],"['剧情', '惊悚', '灾难']",87,35285,英语, 美国,巨鳄风暴
1897,史蒂芬·贝克,"['加布里埃尔·伯恩', '朱丽安娜· 玛格丽丝', '朗·埃达德', '戴斯蒙德·哈灵顿', '艾赛亚·华盛顿']",6.8,['2002'],"['悬疑', '惊悚', '恐怖']",91,28529,英语, 美国,幽灵船
1898,迪恩·帕里索,"['金·凯瑞', '蒂娅·里欧妮', '亚历克·鲍德温', '理查德·詹金斯']",7.0,['2005'],"['喜剧', '犯罪']",90,27860,英语, 美国,新抢钱夫妻
1899,托尼·斯科特,"['丹泽尔·华盛顿', '约翰·特拉沃尔塔', '约翰·特托罗', '维克多·高佳卡', '路易斯·古兹曼']",6.7,['2009'],"['剧情', '动作', '犯罪']",106,29068,英语, 美国,地铁惊魂
1900,詹姆斯·马瑟,"['盖·皮尔斯', '玛姬·格蕾斯', '彼得·斯特曼', '约瑟夫·吉尔根', '文森特·里根']",6.1,['2012'],"['动作', '科幻', '惊悚']",95,27076,英语, 美国,太空一号
1901,特瑞·吉列姆,"['马特·达蒙', '希斯·莱杰', '莫妮卡·贝鲁奇', '彼得·斯特曼', '罗杰·阿什顿-格里菲斯']",6.6,['2005'],"['喜剧', '惊悚', '奇幻', '冒险']",118,26903,英语, 捷克,格林兄弟
1902,黄毅瑜,"['李连杰', '卡拉·古奇诺', '戴尔里·林多', '杰森·斯坦森', '詹姆斯·莫里森']",6.1,['2001'],"['动作', '科幻', '惊悚']",87,24419,英语, 美国,宇宙追缉令
1903,菲利普·G·阿特威尔,"['李连杰', '杰森·斯坦森', '尊龙', '戴文青木', '路易斯·古兹曼']",6.4,['2007'],"['动作', '惊悚', '犯罪']",103,23811,英语, 美国,游侠
1904,本·斯蒂勒,"['本·斯蒂勒', '小罗伯特·唐尼', '杰克·布莱克', '马修·麦康纳', '史蒂夫·库根']",6.9,['2008'],"['喜剧', '动作', '冒险']",107,30081,英语, 美国,热带惊雷
1905,肯尼思·布拉纳,"['克里斯·派恩', '凯文·科斯特纳', '肯尼思·布拉纳', '凯拉·奈特莉', '嘉玛·陈']",5.7,['2014'],"['剧情', '动作', '惊悚']",105,28706,英语, 美国,一触即发
1906,亚历山大·巴赫,"['鲁伯特·弗兰德', '扎克瑞·昆图', '塞伦·希德', '托马斯·克莱舒曼', '汉娜·韦尔']",6.0,['2015'],"['动作', '惊悚', '犯罪']",96,19876,英语, 美国,代号47
1907,马克·斯蒂文·约翰逊,"['本·阿弗莱克', '詹妮弗·加纳', '科林·法瑞尔', '迈克·克拉克·邓肯', '乔恩·费儒']",5.8,['2003'],"['动作', '惊悚', '犯罪', '奇幻']",103,22500,英语, 美国,超胆侠
1908,菲尔·罗德,"['乔纳·希尔', '查宁·塔图姆', '约翰尼·西蒙斯', '戴夫·弗兰科', '罗伯·里格尔']",6.9,['2012'],"['喜剧', '动作', '犯罪']",109,29114,英语, 美国,龙虎少年队
1909,大卫·F·桑德伯格,"['斯黛芬妮·西格曼', '特丽莎·贝特曼', '露露·威尔逊', '米兰达·奥图', '安东尼·拉帕格利亚']",6.6,['2017'],"['悬疑', '惊悚', '恐怖']",109,29949,英语, 美国,安娜贝尔2：诞生
1910,保罗·费格,"['梅丽莎·麦卡西', '克里斯汀·韦格', '凯特·麦克金农', '莱斯莉·琼斯', '克里斯·海姆斯沃斯']",5.9,['2016'],"['喜剧', '动作', '科幻']",116,25512,英语, 美国,超能敢死队
1911,格伦·费卡拉,"['玛格特·罗比', '威尔·史密斯', '罗德里戈·桑托罗', '黄荣亮', '杰拉尔德·麦克雷尼']",6.8,['2015'],"['剧情', '喜剧', '犯罪']",105,26878,英语, 美国,焦点
1912,罗森·马歇尔·瑟伯,"['道恩·强森', '凯文·哈特', '艾米·莱安', '丹尼尔·尼科莱特', '杰森·贝特曼']",6.3,['2016'],"['喜剧', '动作', '犯罪']",107,21967,英语, 美国,乌龙特工
1913,帕布罗·拉雷恩,"['娜塔莉·波特曼', '彼得·萨斯加德', '格蕾塔·葛韦格', '比利·克鲁德普', '约翰·赫特']",6.6,['2016'],"['剧情', '传记', '历史']",100,26047,英语, 美国,第一夫人
1914,彭顺,"['尼古拉斯·凯奇', '杨采妮', '菲利普·韦利', '查克利·彦纳姆', '陈贝贝']",5.9,['2008'],"['动作', '惊悚', '犯罪']",99,24513,英语, 美国,曼谷杀手
1915,罗伯·莱特曼,"['瑞茜·威瑟斯彭', '塞斯·罗根', '休·劳瑞', '威尔·阿奈特', '基弗·萨瑟兰']",6.9,['2009'],"['喜剧', '动作', '科幻', '动画', '家庭', '冒险']",94,26779,英语, 美国,大战外星人
1916,唐纳德·佩特瑞,"['桑德拉·布洛克', '迈克尔·凯恩', '本杰明·布拉特', '坎迪斯·伯根', '威廉·夏特纳']",6.9,['2000'],"['喜剧', '动作', '犯罪']",109,25466,英语, 美国,特工佳丽
1917,约翰内斯·罗伯茨,"['曼迪·摩尔', '克莱尔·霍尔特', '克里斯·约翰逊', '雅尼·吉尔曼', '圣地亚哥·瑟甘拉']",5.6,['2017'],"['惊悚', '冒险']",89,21052,英语, 英国,鲨海
1918,保罗·亨特,"['周润发', '西恩·威廉·斯科特', '杰米·金', 'Marcus Jean Pirae']",5.3,['2003'],"['喜剧', '动作', '冒险']",104,19173,英语, 美国,防弹武僧
1919,皮托夫,"['哈莉·贝瑞', '本杰明·布拉特', '莎朗·斯通', '朗贝尔·维尔森', '弗兰西丝·康罗伊']",5.8,['2004'],"['动作', '犯罪', '奇幻']",104,19631,英语, 美国,猫女
1920,尼姆罗德·安陶尔,"['艾德里安·布洛迪', '托弗·戈瑞斯', '丹尼·特雷霍', '劳伦斯·菲什伯恩', '沃尔顿·戈金斯']",6.3,['2010'],"['动作', '科幻', '惊悚', '冒险']",107,24040,英语, 美国,新铁血战士
1921,大卫·凯普,"['约翰尼·德普', '格温妮斯·帕特洛', '保罗·贝坦尼', '伊万·麦克格雷格', '奥立薇娅·玛恩']",5.3,['2015'],"['喜剧', '动作']",107,24369,英语, 美国,贵族大盗
1922,吉尔莫·德尔·托罗,"['米娅·华希科沃斯卡', '汤姆·希德勒斯顿', '杰西卡·查斯坦', '查理·汉纳姆', '吉姆·比弗']",6.3,['2015'],"['剧情', '悬疑', '惊悚']",119,29259,英语, 美国,猩红山峰
1923,乔·卡纳汉,"['连姆·尼森', '达拉斯·罗伯特斯', '弗兰克·格里罗', '德蒙特·莫罗尼', '侬索·阿诺斯']",6.5,['2011'],"['剧情', '动作', '惊悚', '冒险']",96,24576,英语, 美国,人狼大战
1924,保罗·麦圭根,"['克里斯·埃文斯', '达科塔·范宁', '卡米拉·贝勒', '李小璐', '杰曼·翰苏']",5.9,['2009'],"['动作', '科幻', '惊悚']",111,26068,英语, 加拿大,异能
1925,金伯莉·皮尔斯,"['科洛·莫瑞兹', '朱迪·格雷尔', '波茜娅·道布尔戴', '亚历克斯·罗素', '加布瑞拉·王尔德']",5.9,['2013'],"['剧情', '恐怖']",92,29621,英语, 美国,魔女嘉莉
1926,沙恩·布莱克,"['罗素·克劳', '瑞恩·高斯林', '安格瑞·赖斯', '马特·波莫', '玛格丽特·库里']",7.0,['2016'],"['喜剧', '动作', '犯罪']",116,27332,英语, 美国,耐撕侦探
1927,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
1928,克里斯托弗·诺兰,"['莱昂纳多·迪卡普里奥', '约瑟夫·高登-莱维特', '艾伦·佩吉', '汤姆·哈迪', '渡边谦']",9.3,['2010'],"['剧情', '科幻', '悬疑', '冒险']",148,1287902,英语, 美国,盗梦空间
1929,安东尼·罗素,"['小罗伯特·唐尼', '克里斯·海姆斯沃斯', '克里斯·埃文斯', '马克·鲁弗洛', '乔什·布洛林']",8.1,['2018'],"['动作', '科幻', '奇幻', '冒险']",149,624022,英语, 美国,复仇者联盟3：无限战争
1930,涅提·蒂瓦里,"['阿米尔·汗', '法缇玛·萨那·纱卡', '桑亚·玛荷塔', '阿帕尔夏克提·库拉那', '沙克希·坦沃']",9.0,['2016'],"['剧情', '家庭', '传记', '运动']",161,938437,印地语, 印度,摔跤吧！爸爸
1931,拉斯·霍尔斯道姆,"['理查·基尔', '萨拉·罗默尔', '琼·艾伦', '罗比·萨布莱特', '艾瑞克·阿瓦利']",9.3,['2009'],['剧情'],93,872494,英语, 美国,忠犬八公的故事
1932,詹姆斯·卡梅隆,"['萨姆·沃辛顿', '佐伊·索尔达娜', '西格妮·韦弗', '史蒂芬·朗', '米歇尔·罗德里格兹']",8.7,['2009'],"['动作', '科幻', '冒险']",162,843821,英语, 美国,阿凡达
1933,克里斯托弗·诺兰,"['马修·麦康纳', '安妮·海瑟薇', '杰西卡·查斯坦', '卡西·阿弗莱克', '迈克尔·凯恩']",9.3,['2014'],"['剧情', '科幻', '冒险']",169,934453,英语, 美国,星际穿越
1934,李安,"['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布']",9.0,['2012'],"['剧情', '奇幻', '冒险']",127,914239,英语, 美国,少年派的奇幻漂流
1935,乔斯·韦登,"['小罗伯特·唐尼', '克里斯·埃文斯', '斯嘉丽·约翰逊', '克里斯·海姆斯沃斯', '杰瑞米·雷纳']",8.2,['2012'],"['动作', '科幻', '奇幻', '冒险']",142,512931,英语, 美国,复仇者联盟
1936,克里斯托弗·麦奎里,"['汤姆·克鲁斯', '亨利·卡维尔', '文·瑞姆斯', '西蒙·佩吉', '丽贝卡·弗格森']",8.1,['2018'],"['动作', '惊悚', '冒险']",147,411770,英语, 美国,碟中谍6：全面瓦解
1937,安东尼·罗素,"['小罗伯特·唐尼', '克里斯·埃文斯', '马克·鲁弗洛', '克里斯·海姆斯沃斯', '斯嘉丽·约翰逊']",8.5,['2019'],"['动作', '科幻', '奇幻', '冒险']",181,715746,英语, 美国,复仇者联盟4：终局之战
1938,詹姆斯·麦克特格,"['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特']",8.9,['2005'],"['剧情', '动作', '科幻', '惊悚']",132,680399,英语, 美国,V字仇杀队
1939,延尚昊,"['孔侑', '郑有美', '马东锡', '金秀安', '金义城']",8.4,['2016'],"['动作', '惊悚', '灾难']",118,632253,韩语, 韩国,釜山行
1940,奥里奥尔·保罗,"['马里奥·卡萨斯', '阿娜·瓦格纳', '何塞·科罗纳多', '巴巴拉·莱涅', '弗兰塞斯克·奥雷利亚']",8.8,['2016'],"['剧情', '悬疑', '惊悚', '犯罪']",106,697865,西班牙语, 西班牙,看不见的客人
1941,克里斯托弗·诺兰,"['克里斯蒂安·贝尔', '希斯·莱杰', '艾伦·艾克哈特', '迈克尔·凯恩', '玛吉·吉伦哈尔']",9.2,['2008'],"['剧情', '动作', '科幻', '惊悚', '犯罪']",152,629037,英语, 美国,蝙蝠侠：黑暗骑士
1942,戈尔·维宾斯基,"['约翰尼·德普', '杰弗里·拉什', '奥兰多·布鲁姆', '凯拉·奈特莉', '杰克·达文波特']",8.7,['2003'],"['动作', '奇幻', '冒险']",143,557674,英语, 美国,加勒比海盗
1943,乔恩·费儒,"['小罗伯特·唐尼', '泰伦斯·霍华德', '格温妮斯·帕特洛', '杰夫·布里吉斯', '莱丝莉·比伯']",8.3,['2008'],"['动作', '科幻', '惊悚', '冒险']",126,415369,英语, 美国,钢铁侠
1944,埃里克·布雷斯,"['阿什顿·库彻', '梅洛拉·沃尔特斯', '艾米·斯马特', '埃尔登·汉森', '威廉姆·李·斯科特']",8.8,['2004'],"['剧情', '科幻', '悬疑', '惊悚']",113,585000,英语, 美国,蝴蝶效应
1945,大卫·芬奇,"['摩根·弗里曼', '布拉德·皮特', '凯文·史派西', '格温妮斯·帕特洛', '安德鲁·凯文·沃克']",8.8,['1995'],"['剧情', '悬疑', '惊悚', '犯罪']",127,629416,英语, 美国,七宗罪
1946,大卫·芬奇,"['凯特·布兰切特', '布拉德·皮特', '朱莉娅·奥蒙德', '芳妮·A·钱勃丝', '伊莱亚斯·科泰斯']",8.9,['2008'],"['剧情', '爱情', '奇幻']",166,621491,英语, 美国,本杰明·巴顿奇事
1947,詹姆斯·古恩,"['克里斯·帕拉特', '佐伊·索尔达娜', '布莱德利·库珀', '范·迪塞尔', '戴夫·巴蒂斯塔']",8.1,['2014'],"['动作', '科幻', '冒险']",121,396404,英语, 美国,银河护卫队
