,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,名称
185,马修·沃恩,"['伊恩·麦克莱恩', 'Bimbo Hart', '阿拉斯泰尔·麦金托什', '大卫·凯利', '本·巴恩斯']",7.6,['2007'],"['爱情', '家庭', '奇幻', '冒险']",127,56929,英语, 美国,星尘
186,斯蒂夫·平克,"['贾斯汀·朗', '乔纳·希尔', '布蕾克·莱弗利', '玛丽亚·泰耶尔', '汉娜·马克斯']",7.6,['2006'],['喜剧'],90,53654,英语, 美国,录取通知
187,彼德·切尔瑟姆,"['约翰·库萨克', '凯特·贝金赛尔', '布丽姬·穆娜', '杰里米·皮文', '尤金·列维']",7.6,['2001'],"['喜剧', '爱情', '奇幻']",90,53676,英语, 美国,缘分天注定
188,汤米·奥·哈沃,"['安妮·海瑟薇', '休·丹西', '加利·艾尔维斯', 'Aidan McArdle', '乔安娜·林莉']",6.6,['2004'],"['喜剧', '爱情', '家庭', '奇幻']",96,45798,英语, 美国,魔法灰姑娘
189,欧格斯·兰斯莫斯,"['奥利维娅·科尔曼', '艾玛·斯通', '蕾切尔·薇兹', '尼古拉斯·霍尔特', '乔·阿尔文']",7.5,['2018'],"['剧情', '喜剧', '同性', '传记']",119,58688,英语, 爱尔兰,宠儿
190,凯文·利玛,"['艾米·亚当斯', '帕特里克·德姆西', '詹姆斯·麦斯登', '蒂莫西·斯波', '伊迪娜·门泽尔']",7.1,['2007'],"['喜剧', '爱情', '动画', '歌舞']",107,48150,英语, 美国,魔法奇缘
191,唐纳德·佩特瑞,"['琳赛·洛翰', '克里斯·派恩', '萨米拉·阿姆斯特朗', '布丽·特纳', '费松·拉夫']",6.8,['2006'],"['喜剧', '爱情', '奇幻']",103,49660,英语, 美国,倒霉爱神
192,Allen Coulter,"['罗伯特·帕丁森', '艾米莉·德瑞文', '皮尔斯·布鲁斯南', '克里斯·库珀', '玛莎·普林顿']",7.3,['2010'],"['剧情', '爱情', '家庭']",113,52038,英语, 美国,记住我
193,马克·帕兰斯基,"['克里斯蒂娜·里奇', '詹姆斯·麦卡沃伊', '凯瑟琳·欧哈拉', '瑞茜·威瑟斯彭', '尼克·弗罗斯特']",6.7,['2006'],"['喜剧', '爱情', '奇幻']",104,50213,英语, 英国,真爱之吻
194,克里斯·麦凯,"['威尔·阿奈特', '罗莎里奥·道森', '拉尔夫·费因斯', '迈克尔·塞拉', '扎克·加利凡纳基斯']",8.0,['2017'],"['喜剧', '动作', '动画', '冒险']",105,48062,英语, 美国,乐高蝙蝠侠大电影
