,名称,导演,演员,评分,年份,类型,电影时长,评价人数,语言,地区,演员颜值
7,我不是潘金莲,冯小刚,"['范冰冰', '郭涛', '大鹏', '张嘉译', '于和伟']",6.7,['2016'],"['剧情', '喜剧']",140,206864,汉语普通话, 中国大陆,66.14
8,狄仁杰之通天帝国,徐克,"['刘德华', '刘嘉玲', '李冰冰', '梁家辉', '邓超']",6.5,['2010'],"['动作', '悬疑', '古装']",123,206463,汉语普通话, 中国大陆,54.89666666666667
9,小王子,马克·奥斯本,"['杰夫·布里吉斯', '麦肯吉·弗依', '瑞秋·麦克亚当斯', '瑞利·奥斯本', '詹姆斯·弗兰科']",8.2,['2015'],"['动画', '奇幻']",108,211335,英语, 法国,58.973333333333336
10,蜘蛛侠3,山姆·雷米,"['托比·马奎尔', '克斯汀·邓斯特', '詹姆斯·弗兰科', '托马斯·哈登·丘奇', '托弗·戈瑞斯']",7.4,['2007'],"['动作', '科幻', '冒险']",139,166939,英语, 美国,57.31999999999999
11,白日梦想家,本·斯蒂勒,"['本·斯蒂勒', '克里斯汀·韦格', '亚当·斯科特', '西恩·潘', '凯瑟琳·哈恩']",8.4,['2013'],"['剧情', '喜剧', '冒险']",114,235809,英语, 美国,49.40333333333333
12,碟中谍,布莱恩·德·帕尔玛,"['汤姆·克鲁斯', '强·沃特', '让·雷诺', '艾曼纽·贝阿', '克里斯汀·斯科特·托马斯']",8.1,['1996'],"['动作', '惊悚', '冒险']",110,184909,英语, 美国,57.21666666666666
13,银河补习班,邓超,"['邓超', '白宇', '任素汐', '王西', '孙浠伦']",6.3,['2019'],['剧情'],147,240680,汉语普通话, 中国大陆,35.25666666666667
14,冰川时代3,卡洛斯·沙尔丹哈,"['雷·罗马诺', '约翰·雷吉扎莫', '丹尼斯·利瑞', 'Maile Flanagan', 'Jason Fricchione']",8.2,['2009'],"['喜剧', '动画', '冒险']",94,185301,英语, 美国,52.07333333333333
15,狮子王,乔恩·费儒,"['唐纳德·格洛弗', '阿尔法·伍达德', '詹姆斯·厄尔·琼斯', '切瓦特·埃加福', '科甘-迈克尔·凯']",7.4,['2019'],"['剧情', '动画', '冒险']",118,230319,英语, 美国,56.67000000000001
16,我脑中的橡皮擦,李宰汉,"['郑雨盛', '孙艺珍', '白钟学', '金富善', '金重基']",7.9,['2004'],"['剧情', '爱情']",117,196398,韩语, 韩国,64.0
17,荒岛余生,罗伯特·泽米吉斯,"['汤姆·汉克斯', '海伦·亨特', '克里斯·诺斯', '尼克·瑟西']",8.6,['2000'],"['剧情', '冒险']",143,193869,英语, 美国,55.47666666666667
18,英国病人,安东尼·明格拉,"['拉尔夫·费因斯', '朱丽叶·比诺什', '威廉·达福', '克里斯汀·斯科特·托马斯', '纳威恩·安德利维斯']",8.5,['1996'],"['剧情', '爱情', '战争']",162,217832,英语, 美国,53.13666666666666
19,全民目击,非行,"['孙红雷', '余男', '郭富城', '邓家佳', '赵立新']",7.7,['2013'],"['剧情', '悬疑', '犯罪']",119,218299,汉语普通话, 中国大陆,64.95333333333333
20,闪光少女,王冉,"['徐璐', '彭昱畅', '刘泳希', '鲁照华', '韩忠羽']",7.3,['2017'],"['喜剧', '音乐']",103,192583,汉语普通话, 中国大陆,70.57666666666667
21,帕丁顿熊2,保罗·金,"['本·卫肖', '休·格兰特', '休·博纳维尔', '莎莉·霍金斯', '萨缪尔·乔斯林']",8.1,['2017'],"['喜剧', '动画', '家庭']",103,178635,英语, 英国,64.53666666666668
22,十二公民,徐昂,"['何冰', '韩童生', '钱波', '赵龙豪', '米铁增']",8.4,['2014'],['剧情'],106,225698,汉语普通话, 中国大陆,58.58666666666667
23,驯龙高手2,迪恩·德布洛斯,"['杰伊·巴鲁切尔', '凯特·布兰切特', '杰拉德·巴特勒', '克雷格·费格森', '亚美莉卡·费雷拉']",8.0,['2014'],"['动画', '奇幻', '冒险']",102,202261,英语, 美国,51.07333333333332
24,逃出绝命镇,乔丹·皮尔,"['丹尼尔·卡卢亚', '艾莉森·威廉姆斯', '凯瑟琳·基纳', '布莱德利·惠特福德', '卡赖伯·兰德里·琼斯']",7.7,['2017'],"['悬疑', '惊悚', '恐怖']",104,230625,英语, 美国,51.29666666666666
25,爱宠大机密,克里斯·雷纳德,"['路易·C·K', '艾瑞克·斯通斯崔特', '凯文·哈特', '艾丽·坎伯尔', '史蒂夫·库根']",7.6,['2016'],"['喜剧', '动画']",87,195251,英语, 美国,43.48666666666667
26,甲方乙方,冯小刚,"['葛优', '刘蓓', '何冰', '冯小刚', '英达']",8.3,['1997'],['喜剧'],90,194240,汉语普通话, 中国大陆,47.23
27,百变星君,叶伟民,"['周星驰', '吴孟达', '梁咏琪', '孙佳君', '徐锦江']",7.6,['1995'],"['喜剧', '科幻', '奇幻']",92,181973,粤语, 中国香港,36.21333333333334
28,珍珠港,迈克尔·贝,"['本·阿弗莱克', '乔什·哈奈特', '凯特·贝金赛尔', '威廉姆·李·斯科特', 'Greg Zola']",7.9,['2001'],"['剧情', '爱情', '历史', '战争']",183,185803,英语, 美国,55.876666666666665
